Name,Roll No,Quiz 1,Assignment,Mids,Quiz 2,Finals,Total Marks
Ahmed Ali,101,8,8,24,8,34,82
Fatima Zahra,102,7,7,21,7,29,71
Bilal Hassan,103,4,4,13,4,18,43
Zainab Bibi,104,3,3,11,3,15,35
Umar Farooq,105,9,10,29,10,39,97
Hamza Khan,106,5,5,16,5,22,53
Sara Ahmed,107,8,9,25,8,34,84
Usman Ghani,108,6,6,18,6,25,61
Maryam Noor,109,4,5,12,4,18,43
Talha Javed,110,10,10,30,10,40,100
Ayesha Siddiqua,111,5,6,14,5,20,50
Saad Bin Zaid,112,3,4,10,3,15,35
Hina Batool,113,9,9,27,9,37,91
Junaid Jamshed,114,2,3,8,2,12,27
Sana Malik,115,7,8,22,7,30,74
Ali Raza,116,8,8,24,8,33,81
Mahnoor Arshad,117,6,7,19,6,26,64
Faizan Mustafa,118,4,4,13,4,17,42
Iqra Aziz,119,5,5,16,5,22,53
Hassan Ahmed,120,9,9,28,9,38,93
