Name,Roll No,Quiz 1,Assignment,Mids,Quiz 2,Finals,Total Marks
Ahmed Ali,101,4,4,13,4,18,43
Fatima Zahra,102,3,3,11,3,15,35
Bilal Hassan,103,8,9,25,8,34,84
Zainab Bibi,104,9,10,28,9,38,94
Umar Farooq,105,6,6,18,6,25,61
Hamza Khan,106,10,10,30,10,40,100
Sara Ahmed,107,5,5,16,5,22,53
Usman Ghani,108,7,7,21,7,29,71
Maryam Noor,109,2,3,8,2,12,27
Talha Javed,110,8,8,24,8,33,81
Ayesha Siddiqua,111,4,5,12,4,18,43
Saad Bin Zaid,112,9,9,27,9,37,91
Hina Batool,113,5,6,14,5,20,50
Junaid Jamshed,114,7,8,22,7,30,74
Sana Malik,115,3,4,10,3,15,35
Ali Raza,116,6,7,19,6,26,64
Mahnoor Arshad,117,9,9,28,9,38,93
Faizan Mustafa,118,8,8,24,8,33,81
Iqra Aziz,119,5,5,15,5,21,51
Hassan Ahmed,120,4,4,13,4,17,42
