Name,Roll No,Quiz 1,Assignment,Mids,Quiz 2,Finals,Total Marks
Ahmed Ali,101,7,8,22,7,30,74
Fatima Zahra,102,9,9,28,9,38,93
Bilal Hassan,103,5,6,15,5,22,53
Zainab Bibi,104,4,5,12,4,18,43
Umar Farooq,105,3,4,10,3,15,35
Hamza Khan,106,8,8,25,8,34,83
Sara Ahmed,107,6,7,19,6,26,64
Usman Ghani,108,2,2,5,2,10,21
Maryam Noor,109,10,10,30,10,40,100
Talha Javed,110,7,7,21,7,28,70
Ayesha Siddiqua,111,9,9,27,9,37,91
Saad Bin Zaid,112,5,5,16,5,21,52
Hina Batool,113,4,4,13,4,17,42
Junaid Jamshed,114,3,3,11,3,15,35
Sana Malik,115,8,9,24,8,33,82
Ali Raza,116,6,6,18,6,25,61
Mahnoor Arshad,117,7,8,20,7,28,70
Faizan Mustafa,118,5,6,14,5,20,50
Iqra Aziz,119,9,8,26,9,36,88
Hassan Ahmed,120,4,5,12,4,18,43
